# TOSTER-FIGHTER  (Xcg/c: 25.0%)


#   H_ISA [km]:   0.000
#   dT_ISA [K]:   0.000

#   Mach:         0.000

#   Sref:         0.721
#   Cref          0.2977
#   Bref          2.430

#   xcg:          0.457  25.000%
#   zcg:          0.030
#   Mass:         9.500
#   delAL: +/- 0.25000
#   delBE:   + 0.50000
#   delDH: +/- 0.50000
#   delDA:   + 0.50000
#   delDV:   - 0.50000
#   delP :   + 0.00500   (  3.12680 [deg/s] )
#   delQ :   + 0.00200   ( 10.20770 [deg/s] )
#   delR :   + 0.01000   (  6.25360 [deg/s] )



# TOSTER-FIGHTER  (Xcg/c: 25.0%)

# AERODYNAMIC DERIVATIVES (per [rad])


   dCl / dR:              0.11730107     0.13035372     0.14254957     0.16250537     0.18272741     0.20875738     0.26624244
   dCn(P) / dR:          -0.06744104    -0.06691886    -0.06684227    -0.06686274    -0.06712878    -0.06374512    -0.06236287
   dCn(P+V)/dR:          -0.07117704    -0.07061385    -0.07065928    -0.06998773    -0.07053577    -0.06771912    -0.06688786

   FH0 [N]:              -0.02745641    -0.01091066    -0.00403511     0.00163276     0.01305162     0.02031847     0.01980605
   FA0 [N]:               0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
   FV0 [N]:               0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000

   sH0 [m]:              -1.72570000    -1.16310000    -0.32460000     1.36110000     3.51800000     7.68200000    17.57270000
   sA0 [m]:               0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
   sV0 [m]:               0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000

   sHdH [m/.]:          -57.29577951   -57.29577951   -57.29577951   -57.29577951   -57.29577951   -57.29577951   -57.29577951
   sAdA [m/.]:          -57.29577951   -57.29577951   -57.29577951   -57.29577951   -57.29577951   -57.29577951   -57.29577951
   sVdV [m/.]:          -57.29577951   -57.29577951   -57.29577951   -57.29577951   -57.29577951   -57.29577951   -57.29577951

   FH0 [m^3]:             0.00004248     0.00002532     0.00001249    -0.00000695    -0.00007068    -0.00014148    -0.00018388
   FA0 [m^3]:            -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000
   FV0 [m^3]:            -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000    -0.00000000

   dFF / dAlfa:           0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
   dFH / dAlfa:           0.00066004     0.00062451     0.00085911     0.00033570    -0.00031077     0.00017556     0.00050877

   dFA / dBeta:           0.00001375     0.00002406     0.00003667     0.00004011     0.00006188     0.00008480     0.00010886
   dFV / dBeta:          -0.00012948    -0.00012567    -0.00012322    -0.00011756    -0.00011392    -0.00009749    -0.00007781

   dFH / dDelH:           0.00144005     0.00129428     0.00121836     0.00121704     0.00133041     0.00098885     0.00086755

   dFA / dDelA:           0.00135560     0.00115963     0.00115278     0.00092589     0.00096028     0.00097750     0.00088233
   dFV / dDelA:           0.00000716     0.00000685     0.00000662     0.00000556     0.00000518     0.00000475     0.00000285

   dFV / dDelV:           0.00035646     0.00035766     0.00036073     0.00036153     0.00036220     0.00036031     0.00035450

   dFA / dP:             -0.00010200    -0.00018199    -0.00012400    -0.00038199     0.00002000    -0.00001400     0.00033199
   dFV / dP:             -0.00002300    -0.00002177    -0.00002052    -0.00001953    -0.00001687    -0.00001580    -0.00000829

   dFF / dQ:              0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000     0.00000000
   dFH / dQ:             -0.00443595    -0.00652581    -0.00712733    -0.00013720     0.00389501    -0.00230810    -0.00317291

   dFA /dR:               0.00032500     0.00033899     0.00033500     0.00033800     0.00034200     0.00033901     0.00038499
   dFV /dR:              -0.00011989    -0.00011689    -0.00011613    -0.00011234    -0.00010975    -0.00009974    -0.00008592
